name,image,aid
"Samsung 1 Ton 3 Star Inverter Split Ac (Copper, Convertible 5-In-1 Cooling Mode, Easy Filter Plus (Anti-Bacteria), 2023 Mo...",https://m.media-amazon.com/images/I/51iSjRHY6EL._AC_UL320_.jpg,413796
"LG 1.0 Ton 5 Star DUAL Inverter Wi-Fi Window AC (Copper, Convertible 4-in-1 cooling, PW-Q12WUZA, 2022 Model, HD Filter, Wh...",https://m.media-amazon.com/images/I/71WuTUFvmUL._AC_UL320_.jpg,252122
"Godrej 1.5 Ton 3 Star 5-In-1 Convertible, Inverter Split AC (100% Copper,I-Sense, 2023 Model, AC 1.5T EI 18TINV3R32-GWA/AC...",https://m.media-amazon.com/images/I/41kGqW4aeML._AC_UL320_.jpg,187893
"Voltas 2 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 243V Vectra Elite, Wh...",https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,501316
"Samsung 1.5 Ton 3 Star Wi-fi Enabled, Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Ant...",https://m.media-amazon.com/images/I/71kIl8z3SJL._AC_UL320_.jpg,414055
"Whirlpool 1.0 Ton 3 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3K1...",https://m.media-amazon.com/images/I/51vyGNOskVL._AC_UL320_.jpg,509267
"Whirlpool 1.5 Ton 5 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3I3...",https://m.media-amazon.com/images/I/51xzmzjFS7L._AC_UL320_.jpg,509273
"Voltas 0.8 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 103V Vectra Elite, ...",https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,501294
"LG 0.8 Ton 3 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti Virus protectio...",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,252134
"Daikin 1 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKM35U, White)",https://m.media-amazon.com/images/I/41BgAG0qRaL._AC_UL320_.jpg,125281
"Blue Star 1 Ton Fixed Speed Portable AC (Copper, Anti Bacterial Silver Coating, Self Diagnosis, Comfort Sleep Modes-Auto/C...",https://m.media-amazon.com/images/I/51eMr0B-93L._AC_UL320_.jpg,75457
"Blue Star 1 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydrop...",https://m.media-amazon.com/images/I/715XgfIJDuL._AC_UL320_.jpg,75415
"Panasonic 1.5 Ton 3 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, PM ...",https://m.media-amazon.com/images/I/61PWjQFDtQL._AC_UL320_.jpg,344452
"Samsung 1 Ton 3 Star Wi-fi Enabled, Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-...",https://m.media-amazon.com/images/I/71IWBYDJbHL._AC_UL320_.jpg,414067
"Daikin 1.5 Ton 3 Star Fixed Speed Split AC (Copper, PM 2.5 Filter, 2022 Model, FTL50U, White)",https://m.media-amazon.com/images/I/410ih0eEMfL._AC_UL320_.jpg,125241
"Carrier 1.5 Ton 3 Star Fixed Speed Window AC( Copper,High Density Filter for Dust Filtration, 2Way Air Directional Contro...",https://m.media-amazon.com/images/I/717wB+IneGL._AC_UL320_.jpg,97751
"IFB 1.5 Ton 3 Star Heavy Duty Inverter Split AC (Copper, Convertible Flexi 8-in-1 Cooling, PM 0.3 Filter, 2022 Model, CI18...",https://m.media-amazon.com/images/I/41XbbkCXXzL._AC_UL320_.jpg,210779
"Blue Star 0.8 Ton 3 Star Inverter Split Ac (Copper, Turbo Cool, Gold Fins, Comfort Sleep, Self Clean Technology, Multi Sen...",https://m.media-amazon.com/images/I/51k0NvUmYLL._AC_UL320_.jpg,75442
"Carrier 2 Ton 5 Star AI Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Dual Filtration with HD & PM 2.5 F...",https://m.media-amazon.com/images/I/61JtwWcAcoL._AC_UL320_.jpg,97700
"Blue Star 1 Ton 3 Star Convertible 4 in 1 Cooling Inverter Split AC (Copper, Multi Sensors, Stabalizer Free Operation, Dus...",https://m.media-amazon.com/images/I/51FETwYY9SL._AC_UL320_.jpg,75364
"Cruise 1.5 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, 2022 ...",https://m.media-amazon.com/images/I/41wle1II8xL._AC_UL320_.jpg,116665
"AmazonBasics 1.5 Ton 5 Star Inverter Split AC (White, Air Purifier, Copper)",https://m.media-amazon.com/images/I/71Gij6Cos4L._AC_UL320_.jpg,35481
"Voltas 1 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 123V Vectra Elegant, ...",https://m.media-amazon.com/images/I/41LlSc9YsnL._AC_UL320_.jpg,501300
"Samsung 1 Ton 5 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Filter, 2023 Model AR12CY5...",https://m.media-amazon.com/images/I/51nHL0am-TL._AC_UL320_.jpg,413813
"Carrier 2 Ton 3 Star AI Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling,Dual Filtration with HD & PM 2.5 F...",https://m.media-amazon.com/images/I/41lrtqXPiWL._AC_UL320_.jpg,97736
"Lloyd 1.5 Ton 5 Star Fixed Speed Window Ac (Copper, 2023 Model, White With Silver Deco Strip, Glw18C5Xwgmr)",https://m.media-amazon.com/images/I/71wnwaJKh9L._AC_UL320_.jpg,269013
"Lloyd 1.0 Ton 3 Star Fixed Speed Window AC (Copper, 2023 Model, White with Silver Deco Strip, GLW12C3XWSEW)",https://m.media-amazon.com/images/I/81qXJbtSA6L._AC_UL320_.jpg,269005
Panasonic 1 Ton 3 Star Wi-Fi Inverter Split Air Conditioner (White),https://m.media-amazon.com/images/I/51oqlNHOBaL._AC_UL320_.jpg,344396
"Whirlpool 1.0 Ton 5 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3I1...",https://m.media-amazon.com/images/I/51xzmzjFS7L._AC_UL320_.jpg,509279
"Samsung 1.5 Ton 3 Star Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Fil...",https://m.media-amazon.com/images/I/71Dg20TjSpL._AC_UL320_.jpg,414076
"Haier 1.5 Ton 3 Star Frost Self Clean Inverter Split AC(100% Grooved copper, Super Anti-corrosion, 2023 Model, HSU17V-TMS3...",https://m.media-amazon.com/images/I/51WirkzK4JL._AC_UL320_.jpg,196731
Hitachi Split Ac - 1.5 Ton Kiyora 5200Fx I Fresh Inverter - R32 - RSRG518FFEO (Gold),https://m.media-amazon.com/images/I/417b-AztnjL._AC_UL320_.jpg,406484
"Lloyd 2.0 Ton 5 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Gol...",https://m.media-amazon.com/images/I/318Bff9KCBL._AC_UL320_.jpg,268953
"Samsung 1.5 Ton 5 Star Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Fil...",https://m.media-amazon.com/images/I/71orowaO-xL._AC_UL320_.jpg,414080
"Panasonic 1.5 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Wa...",https://m.media-amazon.com/images/I/61sbGpSQptL._AC_UL320_.jpg,344437
"Blue Star 1.5 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydr...",https://m.media-amazon.com/images/I/71mF5lrGA1L._AC_UL320_.jpg,75406
"Blue Star 1.5 Ton 5 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydr...",https://m.media-amazon.com/images/I/71DSyQO7qHL._AC_UL320_.jpg,75480
"Panasonic 1 Ton 3 Star Inverter Split Air Conditioner (Copper, PM 2.5 Air Purification, 2022 Model, CS/CU-RU12XKYA, White)",https://m.media-amazon.com/images/I/61mcsP4PwML._AC_UL320_.jpg,344402
"Amazon Basics 1 Ton, 5 Star, Wi-Fi Enabled Smart(Alexa/Google Assistant), Single Rotary Inverter Split AC (Copper Condense...",https://m.media-amazon.com/images/I/51s3yrWntML._AC_UL320_.jpg,34834
"IFB 1 Ton 3 Star Twin Inverter Split Fastcool Silver Series AC (Copper, PM 0.3 Filter, IACI12SA3G3C, 2021 Model, Ivory Matte)",https://m.media-amazon.com/images/I/51mGLhKGN3L._AC_UL320_.jpg,210789
"Samsung 1.5 Ton 5 Star Wi-fi Enabled, Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Ant...",https://m.media-amazon.com/images/I/71bYME6CHEL._AC_UL320_.jpg,414061
"LG 1.5 Ton 3 Star DUAL Inverter Window AC (Copper, Convertible 4-in-1 cooling, HD Filter, 2022 Model, PW-Q18WUXA, White)",https://m.media-amazon.com/images/I/51aDPQpzC2L._AC_UL320_.jpg,252128
"Lloyd 2.0 Ton 3 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Sil...",https://m.media-amazon.com/images/I/3194HYuCKML._AC_UL320_.jpg,268949
"Lloyd 1.0 Ton 2 Star Fixed Speed Split AC (Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White, GLS12C2XWASD)",https://m.media-amazon.com/images/I/41pKfo8B+xL._AC_UL320_.jpg,268913
"Voltas 2 Ton 5 Star, Inverter Split AC(Copper,4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 245V Vectra Plus, White)",https://m.media-amazon.com/images/I/41M7ocgxanL._AC_UL320_.jpg,501322
"Lloyd 1.5 Ton 4 Star Fixed Speed Window Ac (Copper, 2023 Model, White With Golden Deco Strip, Glw18C4Ywgew)",https://m.media-amazon.com/images/I/61bAqnFCY8L._AC_UL320_.jpg,268999
"Voltas 1.5 Ton 3 Star, Fixed Speed Window AC (Copper, Turbo Mode, 2023 Model, 183 Vectra Pearl, White)",https://m.media-amazon.com/images/I/61hrzDc3aTL._AC_UL320_.jpg,501573
"LG 2.0 Ton 3 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, 4 Way Swing, HD Filter with Anti-Vi...",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,251888
"Voltas 1 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 123V Vectra Elite, Wh...",https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,501304
"LG 1.5 Ton 3 Star Hot & Cold DUAL Inverter Split AC (Copper, Super Convertible 5-in-1 Cooling, 4 Way Swing & Anti Allergic...",https://m.media-amazon.com/images/I/51hbo8yQ1EL._AC_UL320_.jpg,252099
"AmazonBasics 1 Ton 3 Star Split Ac (White, Copper, Anti Corrosion Coating)",https://m.media-amazon.com/images/I/71Z9+rx576L._AC_UL320_.jpg,35471
"Voltas 1.5 Ton 3 Star, Inverter Window AC (Copper, 2-in-1 Adjustable Mode, 2023 Model, 183V Vertis Elite, White)",https://m.media-amazon.com/images/I/61suRUG6A+L._AC_UL320_.jpg,501337
"Panasonic 1 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way ...",https://m.media-amazon.com/images/I/61zXnk6ikEL._AC_UL320_.jpg,344429
"Blue Star 1.5 Ton 5 Star Convertible 5 in 1 Cooling Inverter Split AC (Copper, 4 Way Swing, Stabalizer Free Operation, Dus...",https://m.media-amazon.com/images/I/51PxFWmK-dL._AC_UL320_.jpg,75371
"Samsung 2 Ton 3 Star Wi-fi Enabled Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Filter, 2023...",https://m.media-amazon.com/images/I/51pSParNYHL._AC_UL320_.jpg,413820
"LG 1 Ton 5 Star AI+ DUAL Inverter Wi-Fi Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Prot...",https://m.media-amazon.com/images/I/61eO9hzoLzL._AC_UL320_.jpg,251871
"Amazon Basics 1.5 Ton, 5 Star, Wi-Fi Enabled Smart(Alexa/Google Assistant), Twin Rotary Inverter Split AC (Copper Condense...",https://m.media-amazon.com/images/I/51s3yrWntML._AC_UL320_.jpg,34839
Hitachi Split Ac - 1.5 Ton Shizen 3100S  Inverter - R32 - RSQG318HFEOF (Gold),https://m.media-amazon.com/images/I/417b-AztnjL._AC_UL320_.jpg,406480
"Blue Star 0.8 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydr...",https://m.media-amazon.com/images/I/61QqYXeyX6L._AC_UL320_.jpg,75402
Voltas 1 Ton 3 Star Window AC (123 Lyi/123 LZF White),https://m.media-amazon.com/images/I/71ovlk0vAwL._AC_UL320_.jpg,501568
"Cruise 1 Ton [Portable Antibacterial Coating, Dust Filter, Air Purifier, Dehumidifier Portable Ac (Copper, Cpcatf-Pq3S12, ...",https://m.media-amazon.com/images/I/61wH+RMNHLL._AC_UL320_.jpg,116670
"Panasonic 2 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way ...",https://m.media-amazon.com/images/I/61ZzcguzB1L._AC_UL320_.jpg,344447
"Panasonic 2 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper, 7 in 1 Convertible with additional AI Mode, Twin Cool, PM 0....",https://m.media-amazon.com/images/I/61U+94m1YiL._AC_UL320_.jpg,344470
"Blue Star 2 Ton 3 Star Convertible 4 in 1 Cooling Inverter Split AC (Copper, Smart Ready, Auto Defrost, Multi Sensors,Stab...",https://m.media-amazon.com/images/I/41K8zEvR84L._AC_UL320_.jpg,75436
"Lloyd 1.5 Ton 2 Star Fixed Speed Split AC (Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White, GLS18C2XWASS)",https://m.media-amazon.com/images/I/41pKfo8B+xL._AC_UL320_.jpg,268917
"Carrier 1 Ton 3 Star Fixed Speed Split AC (Copper,Auto Cleanser, Economic Sleep Mode, High Density Filter for Dust Filtrat...",https://m.media-amazon.com/images/I/61IET4dPHRL._AC_UL320_.jpg,97745
Voltas SAC 123 Vectra Platina Fixed Window AC 1 Ton,https://m.media-amazon.com/images/I/710itwHC0zL._AC_UL320_.jpg,501550
Hitachi SPLIT AC - 1.0 Ton HITACHI SHIZEN 3100S INVERTER - R32 - RAPG312HFEOZ1 (Gold),https://m.media-amazon.com/images/I/417b-AztnjL._AC_UL320_.jpg,406466
"Samsung 1 Ton 3 Star Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Easy Filter Plus (An...",https://m.media-amazon.com/images/I/71iTRaVQJiL._AC_UL320_.jpg,414049
"Daikin 1.5 Ton 5 Star Inverter Split AC (Copper, PM 1.0 Filter, 2022 Model, JTKJ50U, White)",https://m.media-amazon.com/images/I/418VQew9c-L._AC_UL320_.jpg,125274
"Panasonic 1.5 Ton 3 Star Hot and Cold Wi-Fi Inverter Smart Split AC (Copper, 7 in 1 Convertible with additional AI Mode, T...",https://m.media-amazon.com/images/I/71z2BRd3jbL._AC_UL320_.jpg,344418
"Whirlpool 1.5 Ton 4 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3I3...",https://m.media-amazon.com/images/I/51xzmzjFS7L._AC_UL320_.jpg,509258
"Voltas 1.5 Ton 3 Star, Inverter Split AC(Copper, 5-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 183V Vertis Emeral...",https://m.media-amazon.com/images/I/41ACywlcM1L._AC_UL320_.jpg,501310
"Hitachi 1.5 Ton 5 Star Inverter Split AC (Copper, Dust Filter, 2022 Model, RSRG518HFEOZ1, White)",https://m.media-amazon.com/images/I/41AY1pk5oRL._AC_UL320_.jpg,205958
"LG 1.5 Ton 3 Star DUAL Inverter Split AC (Copper, Super Convertible 5-in-1 Cooling, HD Filter with Anti-Virus Protection, ...",https://m.media-amazon.com/images/I/51hbo8yQ1EL._AC_UL320_.jpg,251860
"Blue Star 2 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydrop...",https://m.media-amazon.com/images/I/61RB58VyTqL._AC_UL320_.jpg,75407
"Whirlpool 2.0 Ton 3 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3I3...",https://m.media-amazon.com/images/I/51pCXb6xOQL._AC_UL320_.jpg,509280
OGENERAL AMGB09BAWA-B WINDOW AC 0.75 TON 5 STAR (White),https://m.media-amazon.com/images/I/61bGljJ9PjL._AC_UL320_.jpg,323214
"Panasonic 1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper, 7 in 1 Convertible with additional AI Mode, 4 Way Swing, n...",https://m.media-amazon.com/images/I/61+j+qGXWeL._AC_UL320_.jpg,344462
Small Personal Air Conditioners Mini Air Conditioner Portable AC Fan with 3 Wind Speed & Humidifier & 7 Colorful Nightligh...,https://m.media-amazon.com/images/I/71RWs4nAXjL._AC_UL320_.jpg,352137
"Godrej 1.5 Ton 3 Star Inverter Split AC (Copper, 2022 model, 5-in-1 convertible, Nano-Coated anti-viral filter AC 1.5T GIC...",https://m.media-amazon.com/images/I/51pp0iI8MHL._AC_UL320_.jpg,188191
"Panasonic 1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper, 7 in 1 Convertible with additional AI Mode, 4 Way Swing, n...",https://m.media-amazon.com/images/I/71hnes2pyTL._AC_UL320_.jpg,344413
Voltas 1.5 Ton 5 Star Inverter Window AC (Copper 185V DZA White),https://m.media-amazon.com/images/I/71EGtaLjCkL._AC_UL320_.jpg,501499
"Carrier 1.5 Ton 3 Star Window AC (Copper, Estrella Dx, White)",https://m.media-amazon.com/images/I/613OvbCF6mL._AC_UL320_.jpg,97753
"Blue Star 1 Ton 5 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydrop...",https://m.media-amazon.com/images/I/71EyEZCnfyL._AC_UL320_.jpg,75411
"Amazon Basics 1 Ton 4 Star Fixed Speed Window AC (Copper, Turbo Cool, Dust Filter, 2022 Model, White)",https://m.media-amazon.com/images/I/91BcgKPL5xL._AC_UL320_.jpg,34840
"Voltas 2 Ton 5 Star Inverter Split AC (Copper Condenser, 245V EAZS, White)",https://m.media-amazon.com/images/I/31kzjzWD29L._AC_UL320_.jpg,501460
